calendar-years,administrative-geography,name,Fatalities ,Population,,,,
2016,E12000006,East of England,526,6269161,,,,
2020,E12000006,East of England,518,6269161,,,,
2015,E12000006,East of England,494,6269161,,,,
2018,E12000006,East of England,614,6269161,,,,
2017,E12000006,East of England,468,6269161,,,,
2019,E12000006,East of England,626,6269161,,,,
2019,E12000004,East Midlands,456,4865583,,,,
2018,E12000004,East Midlands,400,4865583,,,,
2016,E12000004,East Midlands,352,4865583,,,,
2017,E12000004,East Midlands,341,4865583,,,,
2020,E12000004,East Midlands,396,4865583,,,,
2015,E12000004,East Midlands,399,4865583,,,,
2016,E12000009,South West,543,5659143,,,,
2020,E12000009,South West,559,5659143,,,,
2017,E12000009,South West,510,5659143,,,,
2019,E12000009,South West,590,5659143,,,,
2018,E12000009,South West,566,5659143,,,,
2015,E12000009,South West,494,5659143,,,,
2015,E12000005,West Midlands,477,5961929,,,,
2019,E12000005,West Midlands,534,5961929,,,,
2020,E12000005,West Midlands,546,5961929,,,,
2016,E12000005,West Midlands,446,5961929,,,,
2017,E12000005,West Midlands,500,5961929,,,,
2018,E12000005,West Midlands,514,5961929,,,,
2020,E12000008,South East,851,9217265,,,,
2017,E12000008,South East,720,9217265,,,,
2018,E12000008,South East,720,9217265,,,,
2019,E12000008,South East,859,9217265,,,,
2015,E12000008,South East,756,9217265,,,,
2016,E12000008,South East,754,9217265,,,,
2019,E12000007,London,616,9002488,,,,
2020,E12000007,London,543,9002488,,,,
2017,E12000007,London,568,9002488,,,,
2015,E12000007,London,735,9002488,,,,
2016,E12000007,London,580,9002488,,,,
2018,E12000007,London,661,9002488,,,,
2015,E12000002,North West,674,7367456,,,,
2017,E12000002,North West,634,7367456,,,,
2018,E12000002,North West,682,7367456,,,,
2020,E12000002,North West,643,7367456,,,,
2016,E12000002,North West,661,7367456,,,,
2019,E12000002,North West,709,7367456,,,,
2020,E12000003,Yorkshire and The Humber,550,5526350,,,,
2016,E12000003,Yorkshire and The Humber,469,5526350,,,,
2019,E12000003,Yorkshire and The Humber,660,5526350,,,,
2017,E12000003,Yorkshire and The Humber,462,5526350,,,,
2018,E12000003,Yorkshire and The Humber,577,5526350,,,,
2015,E12000003,Yorkshire and The Humber,544,5526350,,,,
2019,E12000001,North East,266,2680763,,,,
2018,E12000001,North East,287,2680763,,,,
2015,E12000001,North East,247,2680763,,,,
2020,E12000001,North East,306,2680763,,,,
2016,E12000001,North East,244,2680763,,,,
2017,E12000001,North East,248,2680763,,,,